mutant-id|timeToExecute|0--0-passes a basic sanity check|1--1-uses it|2--2-uses it
MUTANT 720|3688ms|1|1|1
MUTANT 721|3690ms|1|1|1
MUTANT 722|3665ms|1|1|1
MUTANT 723|3332ms|1|1|1
MUTANT 724|2819ms|1|1|1
MUTANT 726|3647ms|1|1|1
MUTANT 725|3689ms|1|1|1
MUTANT 728|4099ms|1|1|1
MUTANT 727|4121ms|1|1|1
MUTANT 729|4398ms|1|1|1
MUTANT 730|4410ms|1|1|1
MUTANT 732|4269ms|1|1|1
MUTANT 731|4540ms|1|1|1
MUTANT 733|3756ms|1|1|1
MUTANT 734|3762ms|1|1|1
MUTANT 735|3749ms|1|1|1
MUTANT 736|3836ms|1|1|1
MUTANT 737|3788ms|1|1|1
MUTANT 738|3874ms|1|1|1
MUTANT 739|3672ms|1|1|1
MUTANT 740|3931ms|1|1|1
MUTANT 741|4839ms|1|1|1
MUTANT 742|4746ms|1|1|1
MUTANT 743|4939ms|1|1|1
MUTANT 744|5221ms|1|1|1
MUTANT 747|4377ms|1|1|1
MUTANT 745|4736ms|1|1|1
MUTANT 746|4805ms|1|1|1
MUTANT 748|4068ms|1|1|1
MUTANT 750|3784ms|1|1|1
MUTANT 749|3933ms|1|1|1
MUTANT 751|3976ms|1|1|1
MUTANT 752|4099ms|1|1|1
MUTANT 753|3698ms|1|1|1
MUTANT 754|3656ms|1|1|1
MUTANT 755|3791ms|1|1|1
MUTANT 756|3664ms|1|1|1
MUTANT 757|3866ms|1|1|1
MUTANT 758|3800ms|1|1|1
MUTANT 759|4048ms|1|1|1
MUTANT 760|3866ms|1|1|1
MUTANT 762|4098ms|1|1|1
MUTANT 761|4134ms|1|1|1
MUTANT 763|4077ms|1|1|1
MUTANT 764|4118ms|1|1|1
MUTANT 765|3735ms|1|1|1
MUTANT 766|3962ms|1|1|1
MUTANT 767|3959ms|1|1|1
MUTANT 768|3911ms|1|1|1
MUTANT 769|4389ms|1|1|1
MUTANT 770|4206ms|1|1|1
MUTANT 771|4591ms|1|1|1
MUTANT 772|4557ms|1|1|1
MUTANT 773|4283ms|1|1|1
MUTANT 774|4248ms|1|1|1
MUTANT 775|4449ms|1|1|1
MUTANT 776|4449ms|1|1|1
MUTANT 777|4387ms|1|1|1
MUTANT 778|4701ms|1|1|1
MUTANT 779|3872ms|1|1|1
MUTANT 780|3866ms|1|1|1
MUTANT 781|3878ms|1|1|1
MUTANT 782|3898ms|1|1|1
MUTANT 783|3848ms|1|1|1
MUTANT 784|3874ms|1|1|1
MUTANT 785|3594ms|1|1|1
MUTANT 786|3477ms|1|1|1
MUTANT 787|3545ms|1|1|1
MUTANT 788|3498ms|1|1|1
MUTANT 789|3218ms|1|1|1
MUTANT 790|3390ms|1|1|1
MUTANT 791|3304ms|1|1|1
MUTANT 792|3263ms|1|1|1
MUTANT 793|3194ms|1|1|1
MUTANT 794|3275ms|1|1|1
MUTANT 795|3209ms|1|1|1
MUTANT 796|3177ms|1|1|1
MUTANT 797|3360ms|1|1|1
MUTANT 798|3315ms|1|1|1
MUTANT 799|3205ms|1|1|1
MUTANT 800|3148ms|1|1|1
MUTANT 801|3164ms|1|1|1
MUTANT 802|3271ms|1|1|1
MUTANT 804|3237ms|1|1|1
MUTANT 803|3398ms|1|1|1
MUTANT 805|3350ms|1|1|1
MUTANT 806|3221ms|1|1|1
MUTANT 808|3202ms|1|1|1
MUTANT 807|3469ms|1|1|1
MUTANT 809|3385ms|1|1|1
MUTANT 810|3316ms|1|1|1
MUTANT 811|3373ms|1|1|1
MUTANT 812|3261ms|1|1|1
MUTANT 813|2404ms|1|1|1
MUTANT 814|2220ms|1|1|1
