mutant-id|timeToExecute|0--0-passes a basic sanity check|1--1-uses it|2--2-uses it
MUTANT 167|5419ms|1|1|1
MUTANT 169|3946ms|1|1|1
MUTANT 168|4277ms|1|1|1
MUTANT 170|4308ms|1|1|1
MUTANT 171|3499ms|1|1|1
MUTANT 173|3272ms|1|1|1
MUTANT 172|3477ms|1|1|1
MUTANT 174|3320ms|1|1|1
MUTANT 175|3584ms|1|1|1
MUTANT 176|2918ms|1|1|1
MUTANT 177|3062ms|1|1|1
MUTANT 178|2987ms|1|1|1
MUTANT 179|2643ms|1|1|1
MUTANT 180|2950ms|1|1|1
MUTANT 181|3031ms|1|1|1
MUTANT 182|3220ms|1|1|1
MUTANT 183|3284ms|1|1|1
MUTANT 184|3616ms|1|1|1
MUTANT 185|3724ms|1|1|1
MUTANT 186|3444ms|1|1|1
MUTANT 187|3649ms|1|1|1
MUTANT 188|3502ms|1|1|1
MUTANT 189|3934ms|1|1|1
MUTANT 190|3470ms|1|1|1
MUTANT 191|3805ms|1|1|1
MUTANT 192|3650ms|1|1|1
MUTANT 193|3524ms|1|1|1
MUTANT 194|3508ms|1|1|1
MUTANT 195|3681ms|1|1|1
MUTANT 196|3722ms|1|1|1
MUTANT 197|3535ms|1|1|1
MUTANT 198|3639ms|1|1|1
MUTANT 199|3639ms|1|1|1
MUTANT 200|3773ms|1|1|1
MUTANT 201|3528ms|1|1|1
MUTANT 202|3535ms|1|1|1
MUTANT 203|3513ms|1|1|1
MUTANT 204|3338ms|1|1|1
MUTANT 205|3254ms|1|1|1
MUTANT 206|3455ms|1|1|1
MUTANT 207|3582ms|1|1|1
MUTANT 208|3836ms|1|1|1
MUTANT 209|3921ms|1|1|1
MUTANT 210|4058ms|1|1|1
MUTANT 211|3956ms|1|1|1
MUTANT 212|3558ms|1|1|1
MUTANT 213|3590ms|1|1|1
MUTANT 214|4030ms|1|1|1
MUTANT 216|4059ms|1|1|1
MUTANT 215|4200ms|1|0|0
MUTANT 218|4121ms|1|1|1
MUTANT 219|4094ms|-2|-2|-2
MUTANT 220|4050ms|-2|-2|-2
MUTANT 222|4163ms|1|1|1
MUTANT 223|4099ms|1|1|1
MUTANT 225|4460ms|1|1|1
MUTANT 226|4077ms|1|1|1
MUTANT 227|3982ms|1|1|1
MUTANT 228|3948ms|1|1|1
MUTANT 229|4486ms|1|1|1
MUTANT 230|4468ms|1|1|1
MUTANT 231|4699ms|1|1|1
MUTANT 233|3908ms|1|1|1
MUTANT 234|3942ms|1|0|0
MUTANT 232|4199ms|1|1|1
MUTANT 235|4091ms|1|0|0
MUTANT 236|4072ms|1|1|1
MUTANT 237|4071ms|1|1|1
MUTANT 238|4209ms|1|1|1
MUTANT 239|4083ms|1|1|1
MUTANT 240|3717ms|1|1|1
MUTANT 241|3761ms|1|0|0
MUTANT 242|3866ms|1|0|0
MUTANT 243|3844ms|-2|-2|-2
MUTANT 244|4063ms|-2|-2|-2
MUTANT 245|4163ms|1|1|1
MUTANT 246|4170ms|1|1|1
