mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 63|2117ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 64|2213ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|2227ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|2094ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 67|2260ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 68|2096ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 69|2213ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 70|2105ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 71|2306ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 72|2259ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 73|2157ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 74|2278ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 75|2087ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 76|1932ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 77|1763ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 79|2040ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 80|2350ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|2457ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 82|2277ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|2425ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 81|5933ms|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 85|2472ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 86|2203ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 87|2485ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 88|2278ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 89|2139ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 90|2155ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 91|2185ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 92|2325ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 93|2317ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 94|2327ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 95|2226ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 96|2191ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 97|2203ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 99|2340ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 98|2394ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 100|2292ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 101|2529ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 103|2234ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
